Year34,Cumulat,GCumulat
1960,308396160000,308.39616
1961,317811160000,317.81116
1962,327558400000,327.5584
1963,337825170000,337.82517
1964,348649650000,348.64965
1965,359960250000,359.96025
1966,371822900000,371.8229
1967,384060230000,384.06023
1968,396965500000,396.9655
1969,410727320000,410.72732
1970,425626470000,425.62647
1971,441130320000,441.13032
1972,457354900000,457.3549
1973,474432180000,474.43218
1974,491430100000,491.4301
1975,508418560000,508.41856
1976,526281050000,526.28105
1977,544639100000,544.6391
1978,563663860000,563.66386
1979,583172400000,583.1724
1980,602582200000,602.5822
1981,621461960000,621.46196
1982,640191700000,640.1917
1983,659093500000,659.0935
1984,678550770000,678.55077
1985,698695600000,698.6956
1986,719133700000,719.1337
1987,740239900000,740.2399
1988,762158600000,762.1586
1989,784358830000,784.35883
1990,807091000000,807.091
1991,830296560000,830.29656
1992,852816950000,852.81695
1993,875566860000,875.56686
1994,898541400000,898.5414
1995,922058100000,922.0581
1996,946291540000,946.29154
1997,970671900000,970.6719
1998,994967600000,994.9676
1999,1019805400000,1019.8054
2000,1045316800000,1045.3168
2001,1071009800000,1071.0098
2002,1097275150000,1097.27515
2003,1124927900000,1124.9279
2004,1153537900000,1153.5379
2005,1183136900000,1183.1369
2006,1213731000000,1213.731
2007,1245230300000,1245.2303
2008,1277279900000,1277.2799
2009,1308793000000,1308.793
2010,1342110600000,1342.1106
2011,1376590600000,1376.5906
2012,1411545300000,1411.5453
2013,1446821100000,1446.8211
2014,1482286800000,1482.2868
2015,1517690400000,1517.6904
2016,1553083100000,1553.0831
2017,1589057800000,1589.0578
2018,1625791800000,1625.7918
2019,1662878400000,1662.8784
2020,1698036600000,1698.0366
2021,1734903500000,1734.9035
2022,1772431200000,1772.4312
2023,1810525300000,1810.5253
2024,1849123900000,1849.1239
