date,year,month,toa_net_flux_w_m2,year41
2000-03-01,2000,3,5.960000,2000.208333
2000-04-01,2000,4,1.930000,2000.291667
2000-05-01,2000,5,-5.930000,2000.375000
2000-06-01,2000,6,-10.230000,2000.458333
2000-07-01,2000,7,-8.710000,2000.541667
2000-08-01,2000,8,-5.210000,2000.625000
2000-09-01,2000,9,-0.900000,2000.708333
2000-10-01,2000,10,1.660000,2000.791667
2000-11-01,2000,11,4.150000,2000.875000
2000-12-01,2000,12,6.010000,2000.958333
2001-01-01,2001,1,9.780000,2001.041667
2001-02-01,2001,2,8.970000,2001.125000
2001-03-01,2001,3,7.540000,2001.208333
2001-04-01,2001,4,1.000000,2001.291667
2001-05-01,2001,5,-6.110000,2001.375000
2001-06-01,2001,6,-9.730000,2001.458333
2001-07-01,2001,7,-8.670000,2001.541667
2001-08-01,2001,8,-6.100000,2001.625000
2001-09-01,2001,9,0.010000,2001.708333
2001-10-01,2001,10,1.100000,2001.791667
2001-11-01,2001,11,3.570000,2001.875000
2001-12-01,2001,12,5.160000,2001.958333
2002-01-01,2002,1,7.820000,2002.041667
2002-02-01,2002,2,8.040000,2002.125000
2002-03-01,2002,3,6.500000,2002.208333
2002-04-01,2002,4,0.700000,2002.291667
2002-05-01,2002,5,-5.570000,2002.375000
2002-06-01,2002,6,-10.110000,2002.458333
2002-07-01,2002,7,-10.170000,2002.541667
2002-08-01,2002,8,-6.580000,2002.625000
2002-09-01,2002,9,-1.170000,2002.708333
2002-10-01,2002,10,2.590000,2002.791667
2002-11-01,2002,11,3.520000,2002.875000
2002-12-01,2002,12,6.050000,2002.958333
2003-01-01,2003,1,7.620000,2003.041667
2003-02-01,2003,2,8.850000,2003.125000
2003-03-01,2003,3,6.410000,2003.208333
2003-04-01,2003,4,1.290000,2003.291667
2003-05-01,2003,5,-6.010000,2003.375000
2003-06-01,2003,6,-9.440000,2003.458333
2003-07-01,2003,7,-8.910000,2003.541667
2003-08-01,2003,8,-4.720000,2003.625000
2003-09-01,2003,9,-0.590000,2003.708333
2003-10-01,2003,10,1.590000,2003.791667
2003-11-01,2003,11,3.750000,2003.875000
2003-12-01,2003,12,6.010000,2003.958333
2004-01-01,2004,1,8.640000,2004.041667
2004-02-01,2004,2,9.090000,2004.125000
2004-03-01,2004,3,5.570000,2004.208333
2004-04-01,2004,4,2.360000,2004.291667
2004-05-01,2004,5,-6.480000,2004.375000
2004-06-01,2004,6,-10.490000,2004.458333
2004-07-01,2004,7,-7.850000,2004.541667
2004-08-01,2004,8,-5.200000,2004.625000
2004-09-01,2004,9,-0.040000,2004.708333
2004-10-01,2004,10,1.360000,2004.791667
2004-11-01,2004,11,4.180000,2004.875000
2004-12-01,2004,12,7.190000,2004.958333
2005-01-01,2005,1,8.040000,2005.041667
2005-02-01,2005,2,7.820000,2005.125000
2005-03-01,2005,3,6.610000,2005.208333
2005-04-01,2005,4,1.120000,2005.291667
2005-05-01,2005,5,-4.320000,2005.375000
2005-06-01,2005,6,-9.910000,2005.458333
2005-07-01,2005,7,-9.850000,2005.541667
2005-08-01,2005,8,-5.940000,2005.625000
2005-09-01,2005,9,-0.660000,2005.708333
2005-10-01,2005,10,1.490000,2005.791667
