date,year,month,toa_net_flux_w_m2,running_12month_avg_trailing
2000-03-01,2000,3,5.96,
2000-04-01,2000,4,1.93,
2000-05-01,2000,5,-5.93,
2000-06-01,2000,6,-10.23,
2000-07-01,2000,7,-8.71,
2000-08-01,2000,8,-5.21,
2000-09-01,2000,9,-0.9,
2000-10-01,2000,10,1.66,
2000-11-01,2000,11,4.15,
2000-12-01,2000,12,6.01,
2001-01-01,2001,1,9.78,
2001-02-01,2001,2,8.97,0.6233333333333332
2001-03-01,2001,3,7.54,0.7549999999999999
2001-04-01,2001,4,1.0,0.6774999999999999
2001-05-01,2001,5,-6.11,0.6624999999999999
2001-06-01,2001,6,-9.73,0.7041666666666666
2001-07-01,2001,7,-8.67,0.7075
2001-08-01,2001,8,-6.1,0.6333333333333333
2001-09-01,2001,9,0.01,0.7091666666666666
2001-10-01,2001,10,1.1,0.6625000000000001
2001-11-01,2001,11,3.57,0.6141666666666666
2001-12-01,2001,12,5.16,0.5433333333333333
2002-01-01,2002,1,7.82,0.3800000000000001
2002-02-01,2002,2,8.04,0.3025
2002-03-01,2002,3,6.5,0.21583333333333332
2002-04-01,2002,4,0.7,0.19083333333333333
2002-05-01,2002,5,-5.57,0.23583333333333334
2002-06-01,2002,6,-10.11,0.20416666666666675
2002-07-01,2002,7,-10.17,0.07916666666666676
2002-08-01,2002,8,-6.58,0.03916666666666672
2002-09-01,2002,9,-1.17,-0.05916666666666661
2002-10-01,2002,10,2.59,0.06500000000000004
2002-11-01,2002,11,3.52,0.060833333333333406
2002-12-01,2002,12,6.05,0.135
2003-01-01,2003,1,7.62,0.11833333333333333
2003-02-01,2003,2,8.85,0.18583333333333338
2003-03-01,2003,3,6.41,0.17833333333333337
2003-04-01,2003,4,1.29,0.22750000000000004
2003-05-01,2003,5,-6.01,0.1908333333333334
2003-06-01,2003,6,-9.44,0.24666666666666673
2003-07-01,2003,7,-8.91,0.35166666666666674
2003-08-01,2003,8,-4.72,0.5066666666666667
2003-09-01,2003,9,-0.59,0.555
2003-10-01,2003,10,1.59,0.47166666666666673
2003-11-01,2003,11,3.75,0.4908333333333334
2003-12-01,2003,12,6.01,0.48750000000000004
2004-01-01,2004,1,8.64,0.5725000000000001
2004-02-01,2004,2,9.09,0.5925000000000001
2004-03-01,2004,3,5.57,0.5225000000000001
2004-04-01,2004,4,2.36,0.6116666666666668
2004-05-01,2004,5,-6.48,0.5725000000000001
2004-06-01,2004,6,-10.49,0.48500000000000015
2004-07-01,2004,7,-7.85,0.5733333333333334
2004-08-01,2004,8,-5.2,0.5333333333333334
2004-09-01,2004,9,-0.04,0.5791666666666667
2004-10-01,2004,10,1.36,0.56
2004-11-01,2004,11,4.18,0.5958333333333333
2004-12-01,2004,12,7.19,0.6941666666666668
2005-01-01,2005,1,8.04,0.6441666666666667
2005-02-01,2005,2,7.82,0.5383333333333334
2005-03-01,2005,3,6.61,0.6250000000000001
2005-04-01,2005,4,1.12,0.5216666666666667
2005-05-01,2005,5,-4.32,0.7016666666666668
2005-06-01,2005,6,-9.91,0.75
2005-07-01,2005,7,-9.85,0.5833333333333335
2005-08-01,2005,8,-5.94,0.5216666666666666
2005-09-01,2005,9,-0.66,0.47
2005-10-01,2005,10,1.49,0.4808333333333333
2005-11-01,2005,11,3.57,0.43
2005-12-01,2005,12,7.0,0.4141666666666666
2006-01-01,2006,1,8.98,0.4925000000000001
2006-02-01,2006,2,9.19,0.6066666666666667
2006-03-01,2006,3,6.6,0.6058333333333333
2006-04-01,2006,4,2.4,0.7124999999999999
2006-05-01,2006,5,-4.23,0.7199999999999999
2006-06-01,2006,6,-9.2,0.7791666666666665
2006-07-01,2006,7,-9.33,0.8224999999999999
2006-08-01,2006,8,-5.81,0.8333333333333334
2006-09-01,2006,9,-0.49,0.8475
2006-10-01,2006,10,1.22,0.8249999999999998
2006-11-01,2006,11,4.34,0.8891666666666667
2006-12-01,2006,12,6.09,0.8133333333333334
2007-01-01,2007,1,6.92,0.6416666666666666
2007-02-01,2007,2,8.55,0.5883333333333334
2007-03-01,2007,3,5.88,0.5283333333333334
2007-04-01,2007,4,1.91,0.48750000000000004
2007-05-01,2007,5,-5.62,0.3716666666666668
2007-06-01,2007,6,-8.7,0.4133333333333334
2007-07-01,2007,7,-8.86,0.4525000000000001
2007-08-01,2007,8,-5.71,0.4608333333333335
2007-09-01,2007,9,-1.76,0.35500000000000015
2007-10-01,2007,10,1.64,0.3900000000000001
2007-11-01,2007,11,3.06,0.28333333333333344
2007-12-01,2007,12,5.06,0.1975000000000001
2008-01-01,2008,1,8.56,0.3341666666666668
2008-02-01,2008,2,8.41,0.32250000000000006
2008-03-01,2008,3,7.56,0.4625000000000001
2008-04-01,2008,4,1.79,0.45250000000000007
2008-05-01,2008,5,-4.16,0.5741666666666667
2008-06-01,2008,6,-8.63,0.58
2008-07-01,2008,7,-8.09,0.6441666666666666
2008-08-01,2008,8,-3.87,0.7974999999999998
2008-09-01,2008,9,-0.71,0.8849999999999999
2008-10-01,2008,10,2.66,0.9699999999999999
2008-11-01,2008,11,3.52,1.008333333333333
2008-12-01,2008,12,7.34,1.1983333333333333
2009-01-01,2009,1,8.68,1.2083333333333333
2009-02-01,2009,2,9.29,1.2816666666666665
2009-03-01,2009,3,7.43,1.270833333333333
2009-04-01,2009,4,1.89,1.2791666666666666
2009-05-01,2009,5,-4.4,1.2591666666666665
2009-06-01,2009,6,-7.53,1.3508333333333329
2009-07-01,2009,7,-8.83,1.2891666666666666
2009-08-01,2009,8,-5.04,1.1916666666666664
2009-09-01,2009,9,-1.39,1.1349999999999998
2009-10-01,2009,10,1.54,1.0416666666666663
2009-11-01,2009,11,2.93,0.9924999999999997
2009-12-01,2009,12,6.26,0.9024999999999999
2010-01-01,2010,1,6.66,0.7341666666666665
2010-02-01,2010,2,8.08,0.6333333333333332
2010-03-01,2010,3,5.63,0.48333333333333317
2010-04-01,2010,4,2.08,0.49916666666666654
2010-05-01,2010,5,-5.95,0.3699999999999999
2010-06-01,2010,6,-9.73,0.18666666666666654
2010-07-01,2010,7,-9.35,0.14333333333333323
2010-08-01,2010,8,-6.05,0.05916666666666659
2010-09-01,2010,9,-0.95,0.09583333333333323
2010-10-01,2010,10,1.51,0.09333333333333325
2010-11-01,2010,11,2.65,0.0699999999999999
2010-12-01,2010,12,5.66,0.019999999999999945
2011-01-01,2011,1,8.58,0.17999999999999994
2011-02-01,2011,2,8.49,0.21416666666666662
2011-03-01,2011,3,6.86,0.31666666666666665
2011-04-01,2011,4,2.4,0.34333333333333327
2011-05-01,2011,5,-4.27,0.4833333333333334
2011-06-01,2011,6,-9.49,0.5033333333333334
2011-07-01,2011,7,-8.98,0.5341666666666667
2011-08-01,2011,8,-5.38,0.5900000000000001
2011-09-01,2011,9,-1.36,0.5558333333333333
2011-10-01,2011,10,3.09,0.6875
2011-11-01,2011,11,3.98,0.7983333333333333
2011-12-01,2011,12,4.8,0.7266666666666666
2012-01-01,2012,1,8.74,0.7399999999999999
2012-02-01,2012,2,10.67,0.9216666666666665
2012-03-01,2012,3,6.7,0.9083333333333332
2012-04-01,2012,4,2.57,0.9224999999999999
2012-05-01,2012,5,-4.2,0.9283333333333331
2012-06-01,2012,6,-8.74,0.9908333333333329
2012-07-01,2012,7,-8.2,1.0558333333333332
2012-08-01,2012,8,-4.53,1.1266666666666663
2012-09-01,2012,9,-0.66,1.1849999999999998
2012-10-01,2012,10,2.62,1.1458333333333333
2012-11-01,2012,11,4.57,1.1949999999999998
2012-12-01,2012,12,7.06,1.383333333333333
2013-01-01,2013,1,6.78,1.22
2013-02-01,2013,2,8.48,1.0374999999999999
2013-03-01,2013,3,7.34,1.0908333333333333
2013-04-01,2013,4,1.3,0.9849999999999999
2013-05-01,2013,5,-4.8,0.9349999999999999
2013-06-01,2013,6,-9.6,0.8633333333333336
2013-07-01,2013,7,-8.36,0.8500000000000002
2013-08-01,2013,8,-4.94,0.8158333333333333
2013-09-01,2013,9,-0.79,0.805
2013-10-01,2013,10,1.56,0.7166666666666668
2013-11-01,2013,11,3.88,0.6591666666666667
2013-12-01,2013,12,6.2,0.5875000000000001
2014-01-01,2014,1,7.85,0.6766666666666667
2014-02-01,2014,2,8.45,0.6741666666666667
2014-03-01,2014,3,7.05,0.65
2014-04-01,2014,4,2.4,0.7416666666666667
2014-05-01,2014,5,-4.3,0.7833333333333332
2014-06-01,2014,6,-9.57,0.7858333333333333
2014-07-01,2014,7,-9.38,0.7008333333333332
2014-08-01,2014,8,-4.21,0.7616666666666664
2014-09-01,2014,9,-0.18,0.8124999999999999
2014-10-01,2014,10,2.23,0.8683333333333332
2014-11-01,2014,11,4.1,0.8866666666666666
2014-12-01,2014,12,5.85,0.8574999999999998
2015-01-01,2015,1,7.41,0.8208333333333332
2015-02-01,2015,2,9.21,0.8841666666666667
2015-03-01,2015,3,7.1,0.8883333333333333
2015-04-01,2015,4,2.32,0.8816666666666665
2015-05-01,2015,5,-4.3,0.8816666666666667
2015-06-01,2015,6,-8.9,0.9374999999999999
2015-07-01,2015,7,-8.05,1.0483333333333336
2015-08-01,2015,8,-4.21,1.0483333333333331
2015-09-01,2015,9,0.21,1.0808333333333333
2015-10-01,2015,10,2.29,1.0858333333333334
2015-11-01,2015,11,3.9,1.0691666666666666
2015-12-01,2015,12,6.12,1.0916666666666668
2016-01-01,2016,1,8.0,1.1408333333333334
2016-02-01,2016,2,7.31,0.9824999999999999
2016-03-01,2016,3,6.32,0.9175000000000001
2016-04-01,2016,4,1.48,0.8475
2016-05-01,2016,5,-4.89,0.7983333333333335
2016-06-01,2016,6,-7.53,0.9125000000000002
2016-07-01,2016,7,-8.19,0.9008333333333335
2016-08-01,2016,8,-4.64,0.8650000000000002
2016-09-01,2016,9,-0.24,0.8275000000000005
2016-10-01,2016,10,2.04,0.806666666666667
2016-11-01,2016,11,4.82,0.8833333333333337
2016-12-01,2016,12,6.87,0.9458333333333337
2017-01-01,2017,1,9.28,1.0525000000000004
2017-02-01,2017,2,9.71,1.2525000000000004
2017-03-01,2017,3,7.25,1.3300000000000003
2017-04-01,2017,4,1.93,1.3675000000000004
2017-05-01,2017,5,-5.21,1.3408333333333335
2017-06-01,2017,6,-8.44,1.2650000000000006
2017-07-01,2017,7,-8.1,1.2725000000000004
2017-08-01,2017,8,-5.07,1.236666666666667
2017-09-01,2017,9,-1.04,1.1700000000000002
2017-10-01,2017,10,1.36,1.1133333333333337
2017-11-01,2017,11,4.01,1.0458333333333336
2017-12-01,2017,12,5.7,0.9483333333333337
2018-01-01,2018,1,8.85,0.9125000000000004
2018-02-01,2018,2,9.16,0.866666666666667
2018-03-01,2018,3,6.71,0.8216666666666669
2018-04-01,2018,4,2.99,0.9100000000000005
2018-05-01,2018,5,-4.41,0.9766666666666671
2018-06-01,2018,6,-9.55,0.8841666666666669
2018-07-01,2018,7,-8.54,0.8475000000000001
2018-08-01,2018,8,-4.8,0.8700000000000004
2018-09-01,2018,9,0.42,0.991666666666667
2018-10-01,2018,10,2.98,1.126666666666667
2018-11-01,2018,11,5.12,1.219166666666667
2018-12-01,2018,12,7.47,1.366666666666667
2019-01-01,2019,1,8.66,1.3508333333333338
2019-02-01,2019,2,9.45,1.3750000000000002
2019-03-01,2019,3,7.35,1.4283333333333335
2019-04-01,2019,4,2.19,1.361666666666667
2019-05-01,2019,5,-4.41,1.361666666666667
2019-06-01,2019,6,-8.4,1.4575000000000002
2019-07-01,2019,7,-8.17,1.4883333333333335
2019-08-01,2019,8,-4.97,1.474166666666667
2019-09-01,2019,9,0.02,1.4408333333333336
2019-10-01,2019,10,3.49,1.4833333333333336
2019-11-01,2019,11,4.75,1.4525000000000003
2019-12-01,2019,12,6.25,1.3508333333333338
2020-01-01,2020,1,8.18,1.3108333333333337
2020-02-01,2020,2,8.41,1.224166666666667
2020-03-01,2020,3,7.02,1.196666666666667
2020-04-01,2020,4,2.4,1.214166666666667
2020-05-01,2020,5,-4.74,1.186666666666667
2020-06-01,2020,6,-8.88,1.1466666666666672
2020-07-01,2020,7,-8.43,1.1250000000000007
2020-08-01,2020,8,-4.2,1.1891666666666671
2020-09-01,2020,9,-0.7,1.129166666666667
2020-10-01,2020,10,1.43,0.9575000000000004
2020-11-01,2020,11,3.02,0.8133333333333338
2020-12-01,2020,12,5.29,0.7333333333333337
2021-01-01,2021,1,8.17,0.7325000000000004
2021-02-01,2021,2,8.89,0.7725000000000004
2021-03-01,2021,3,7.69,0.8283333333333337
2021-04-01,2021,4,2.96,0.8750000000000004
2021-05-01,2021,5,-4.37,0.9058333333333337
2021-06-01,2021,6,-7.29,1.038333333333334
2021-07-01,2021,7,-8.02,1.0725000000000007
2021-08-01,2021,8,-4.13,1.078333333333334
2021-09-01,2021,9,0.41,1.1708333333333338
2021-10-01,2021,10,2.56,1.2650000000000006
2021-11-01,2021,11,5.0,1.4300000000000006
2021-12-01,2021,12,6.25,1.5100000000000005
2022-01-01,2022,1,9.25,1.6000000000000005
2022-02-01,2022,2,9.44,1.645833333333334
2022-03-01,2022,3,7.38,1.6200000000000003
2022-04-01,2022,4,1.79,1.5225000000000002
