CERES - EBAFTOA421 Data
Parameter: TOA Net Flux - All-Sky (W m-2)
Time Range: March - 2000 to January - 2026
Time Resolution: MON
Valid Range: -400 - 400
Satellite: -

year month   data
2000 03 5.96
2000 04 1.93
2000 05 -5.93
2000 06 -10.23
2000 07 -8.71
2000 08 -5.21
2000 09 -0.90
2000 10 1.66
2000 11 4.15
2000 12 6.01
2001 01 9.78
2001 02 8.97
2001 03 7.54
2001 04 1.00
2001 05 -6.11
2001 06 -9.73
2001 07 -8.67
2001 08 -6.10
2001 09 0.01
2001 10 1.10
2001 11 3.57
2001 12 5.16
2002 01 7.82
2002 02 8.04
2002 03 6.50
2002 04 0.70
2002 05 -5.57
2002 06 -10.11
2002 07 -10.17
2002 08 -6.58
2002 09 -1.17
2002 10 2.59
2002 11 3.52
2002 12 6.05
2003 01 7.62
2003 02 8.85
2003 03 6.41
2003 04 1.29
2003 05 -6.01
2003 06 -9.44
2003 07 -8.91
2003 08 -4.72
2003 09 -0.59
2003 10 1.59
2003 11 3.75
2003 12 6.01
2004 01 8.64
2004 02 9.09
2004 03 5.57
2004 04 2.36
2004 05 -6.48
2004 06 -10.49
2004 07 -7.85
2004 08 -5.20
2004 09 -0.04
2004 10 1.36
2004 11 4.18
2004 12 7.19
2005 01 8.04
2005 02 7.82
2005 03 6.61
2005 04 1.12
2005 05 -4.32
2005 06 -9.91
2005 07 -9.85
2005 08 -5.94
2005 09 -0.66
2005 10 1.49
2005 11 3.57
2005 12 7.00
2006 01 8.98
2006 02 9.19
2006 03 6.60
2006 04 2.40
2006 05 -4.23
2006 06 -9.20
2006 07 -9.33
2006 08 -5.81
2006 09 -0.49
2006 10 1.22
2006 11 4.34
2006 12 6.09
2007 01 6.92
2007 02 8.55
2007 03 5.88
2007 04 1.91
2007 05 -5.62
2007 06 -8.70
2007 07 -8.86
2007 08 -5.71
2007 09 -1.76
2007 10 1.64
2007 11 3.06
2007 12 5.06
2008 01 8.56
2008 02 8.41
2008 03 7.56
2008 04 1.79
2008 05 -4.16
2008 06 -8.63
2008 07 -8.09
2008 08 -3.87
2008 09 -0.71
2008 10 2.66
2008 11 3.52
2008 12 7.34
2009 01 8.68
2009 02 9.29
2009 03 7.43
2009 04 1.89
2009 05 -4.40
2009 06 -7.53
2009 07 -8.83
2009 08 -5.04
2009 09 -1.39
2009 10 1.54
2009 11 2.93
2009 12 6.26
2010 01 6.66
2010 02 8.08
2010 03 5.63
2010 04 2.08
2010 05 -5.95
2010 06 -9.73
2010 07 -9.35
2010 08 -6.05
2010 09 -0.95
2010 10 1.51
2010 11 2.65
2010 12 5.66
2011 01 8.58
2011 02 8.49
2011 03 6.86
2011 04 2.40
2011 05 -4.27
2011 06 -9.49
2011 07 -8.98
2011 08 -5.38
2011 09 -1.36
2011 10 3.09
2011 11 3.98
2011 12 4.80
2012 01 8.74
2012 02 10.67
2012 03 6.70
2012 04 2.57
2012 05 -4.20
2012 06 -8.74
2012 07 -8.20
2012 08 -4.53
2012 09 -0.66
2012 10 2.62
2012 11 4.57
2012 12 7.06
2013 01 6.78
2013 02 8.48
2013 03 7.34
2013 04 1.30
2013 05 -4.80
2013 06 -9.60
2013 07 -8.36
2013 08 -4.94
2013 09 -0.79
2013 10 1.56
2013 11 3.88
2013 12 6.20
2014 01 7.85
2014 02 8.45
2014 03 7.05
2014 04 2.40
2014 05 -4.30
2014 06 -9.57
2014 07 -9.38
2014 08 -4.21
2014 09 -0.18
2014 10 2.23
2014 11 4.10
2014 12 5.85
2015 01 7.41
2015 02 9.21
2015 03 7.10
2015 04 2.32
2015 05 -4.30
2015 06 -8.90
2015 07 -8.05
2015 08 -4.21
2015 09 0.21
2015 10 2.29
2015 11 3.90
2015 12 6.12
2016 01 8.00
2016 02 7.31
2016 03 6.32
2016 04 1.48
2016 05 -4.89
2016 06 -7.53
2016 07 -8.19
2016 08 -4.64
2016 09 -0.24
2016 10 2.04
2016 11 4.82
2016 12 6.87
2017 01 9.28
2017 02 9.71
2017 03 7.25
2017 04 1.93
2017 05 -5.21
2017 06 -8.44
2017 07 -8.10
2017 08 -5.07
2017 09 -1.04
2017 10 1.36
2017 11 4.01
2017 12 5.70
2018 01 8.85
2018 02 9.16
2018 03 6.71
2018 04 2.99
2018 05 -4.41
2018 06 -9.55
2018 07 -8.54
2018 08 -4.80
2018 09 0.42
2018 10 2.98
2018 11 5.12
2018 12 7.47
2019 01 8.66
2019 02 9.45
2019 03 7.35
2019 04 2.19
2019 05 -4.41
2019 06 -8.40
2019 07 -8.17
2019 08 -4.97
2019 09 0.02
2019 10 3.49
2019 11 4.75
2019 12 6.25
2020 01 8.18
2020 02 8.41
2020 03 7.02
2020 04 2.40
2020 05 -4.74
2020 06 -8.88
2020 07 -8.43
2020 08 -4.20
2020 09 -0.70
2020 10 1.43
2020 11 3.02
2020 12 5.29
2021 01 8.17
2021 02 8.89
2021 03 7.69
2021 04 2.96
2021 05 -4.37
2021 06 -7.29
2021 07 -8.02
2021 08 -4.13
2021 09 0.41
2021 10 2.56
2021 11 5.00
2021 12 6.25
2022 01 9.25
2022 02 9.44
2022 03 7.38
2022 04 1.79
2022 05 -5.28
2022 06 -7.39
2022 07 -8.66
2022 08 -3.86
2022 09 0.24
2022 10 2.74
2022 11 4.66
2022 12 7.69
2023 01 9.56
2023 02 10.01
2023 03 8.30
2023 04 3.91
2023 05 -3.31
2023 06 -7.95
2023 07 -7.99
2023 08 -4.07
2023 09 0.13
2023 10 2.23
2023 11 4.49
2023 12 6.77
2024 01 8.00
2024 02 8.74
2024 03 6.71
2024 04 2.28
2024 05 -5.89
2024 06 -8.87
2024 07 -8.77
2024 08 -4.57
2024 09 -0.36
2024 10 2.45
2024 11 4.21
2024 12 5.89
2025 01 9.71
2025 02 9.00
2025 03 7.36
2025 04 1.98
2025 05 -5.02
2025 06 -8.93
2025 07 -7.91
2025 08 -3.74
2025 09 0.36
2025 10 2.28
2025 11 4.66
2025 12 8.01
2026 01 9.78
